SCH_YR,DIV_NUM,DIV_NAME,B0AND10,B11AND15,B16AND20,OVER20
2010,1,Accomack County ,89.76%,5.34%,2.04%,2.86%
2011,1,Accomack County ,92.25%,4.18%,1.48%,2.09%
2012,1,Accomack County ,90.43%,5.24%,1.79%,2.54%
2013,1,Accomack County ,91.85%,4.17%,1.47%,2.51%
2014,1,Accomack County ,90.57%,5.28%,2.06%,2.08%
2015,1,Accomack County ,89.49%,5.37%,2.05%,3.08%
2010,2,Albemarle County ,94.12%,3.73%,1.14%,1.00%
2011,2,Albemarle County ,94.33%,3.39%,1.04%,1.24%
2012,2,Albemarle County ,93.96%,3.78%,1.14%,1.13%
2013,2,Albemarle County ,94.88%,3.07%,1.01%,1.05%
2014,2,Albemarle County ,94.42%,3.64%,1.02%,0.91%
2015,2,Albemarle County ,94.51%,3.29%,1.09%,1.11%
2010,3,Alleghany County ,86.20%,7.38%,2.74%,3.67%
2011,3,Alleghany County ,87.44%,6.55%,2.06%,3.95%
2012,3,Alleghany County ,87.30%,6.50%,2.81%,3.40%
2013,3,Alleghany County ,87.78%,6.37%,2.57%,3.28%
2014,3,Alleghany County ,86.02%,7.32%,2.51%,4.15%
2015,3,Alleghany County ,85.50%,6.99%,3.33%,4.18%
2010,4,Amelia County ,85.73%,7.06%,2.42%,4.79%
2011,4,Amelia County ,85.08%,8.79%,2.82%,3.30%
2012,4,Amelia County ,83.88%,8.74%,3.09%,4.29%
2013,4,Amelia County ,84.44%,9.16%,2.44%,3.96%
2014,4,Amelia County ,84.43%,9.17%,2.93%,3.47%
2015,4,Amelia County ,84.43%,7.79%,3.73%,4.05%
2010,5,Amherst County ,82.64%,9.25%,3.61%,4.50%
2011,5,Amherst County ,84.58%,8.48%,3.24%,3.70%
2012,5,Amherst County ,79.82%,10.43%,3.55%,6.20%
2013,5,Amherst County ,86.16%,7.43%,2.84%,3.57%
2014,5,Amherst County ,85.86%,7.61%,3.30%,3.23%
2015,5,Amherst County ,79.66%,10.12%,4.38%,5.84%
2010,6,Appomattox County ,85.03%,8.04%,3.32%,3.62%
2011,6,Appomattox County ,86.20%,6.84%,3.29%,3.68%
2012,6,Appomattox County ,87.84%,6.36%,3.29%,2.51%
2013,6,Appomattox County ,88.48%,6.09%,2.44%,2.98%
2014,6,Appomattox County ,88.80%,6.57%,1.95%,2.68%
2015,6,Appomattox County ,90.24%,4.75%,1.99%,3.02%
2010,7,Arlington County ,91.00%,4.81%,1.73%,2.46%
2011,7,Arlington County ,92.51%,3.97%,1.43%,2.09%
2012,7,Arlington County ,92.18%,4.58%,1.59%,1.65%
2013,7,Arlington County ,94.74%,3.15%,0.89%,1.22%
2014,7,Arlington County ,98.70%,0.49%,0.27%,0.55%
2015,7,Arlington County ,93.57%,3.23%,1.37%,1.83%
2010,8,Augusta County ,89.05%,6.12%,2.01%,2.82%
2011,8,Augusta County ,90.15%,5.49%,1.97%,2.39%
2012,8,Augusta County ,89.25%,6.29%,2.21%,2.26%
2013,8,Augusta County ,89.49%,5.88%,2.17%,2.47%
2014,8,Augusta County ,90.54%,5.39%,1.85%,2.21%
2015,8,Augusta County ,90.02%,5.75%,1.93%,2.30%
2010,9,Bath County ,90.38%,7.02%,0.76%,1.83%
2011,9,Bath County ,92.92%,4.52%,1.20%,1.36%
2012,9,Bath County ,90.68%,6.99%,1.24%,1.09%
2013,9,Bath County ,88.14%,8.33%,2.24%,1.28%
2014,9,Bath County ,86.14%,7.26%,3.30%,3.30%
2015,9,Bath County ,86.09%,9.39%,1.91%,2.61%
2010,10,Bedford County ,91.68%,4.60%,1.70%,2.01%
2011,10,Bedford County ,87.01%,7.05%,2.52%,3.42%
2012,10,Bedford County ,90.03%,5.71%,2.16%,2.10%
2013,10,Bedford County ,92.22%,4.32%,1.52%,1.94%
2014,10,Bedford County ,92.45%,4.23%,1.36%,1.96%
2015,10,Bedford County ,92.36%,4.50%,1.46%,1.68%
2010,11,Bland County ,85.27%,8.36%,2.82%,3.55%
2011,11,Bland County ,85.60%,7.36%,3.52%,3.52%
2012,11,Bland County ,87.34%,6.71%,2.71%,3.25%
2013,11,Bland County ,89.69%,5.43%,2.66%,2.22%
2014,11,Bland County ,83.04%,9.76%,3.48%,3.72%
2015,11,Bland County ,85.32%,7.34%,3.37%,3.97%
2010,12,Botetourt County ,92.66%,4.18%,1.55%,1.61%
2011,12,Botetourt County ,92.84%,4.09%,1.46%,1.61%
2012,12,Botetourt County ,93.53%,3.56%,1.21%,1.70%
2013,12,Botetourt County ,94.69%,2.67%,1.19%,1.45%
2014,12,Botetourt County ,95.02%,2.83%,1.08%,1.08%
2015,12,Botetourt County ,93.67%,3.68%,1.15%,1.50%
2010,13,Brunswick County ,78.03%,11.28%,4.71%,5.98%
2011,13,Brunswick County ,76.66%,11.01%,5.08%,7.25%
2012,13,Brunswick County ,77.12%,9.96%,5.56%,7.36%
2013,13,Brunswick County ,84.04%,8.33%,3.82%,3.82%
2014,13,Brunswick County ,75.13%,11.66%,4.93%,8.27%
2015,13,Brunswick County ,78.68%,10.88%,4.39%,6.05%
2010,14,Buchanan County ,83.34%,9.98%,4.07%,2.61%
2011,14,Buchanan County ,81.46%,10.81%,4.16%,3.56%
2012,14,Buchanan County ,83.88%,9.82%,3.55%,2.75%
2013,14,Buchanan County ,86.30%,7.96%,3.02%,2.72%
2014,14,Buchanan County ,82.30%,10.65%,3.60%,3.44%
2015,14,Buchanan County ,79.91%,12.00%,4.37%,3.72%
2010,15,Buckingham County ,83.88%,8.20%,3.62%,4.30%
2011,15,Buckingham County ,84.05%,8.70%,3.45%,3.79%
2012,15,Buckingham County ,86.02%,8.17%,2.93%,2.88%
2013,15,Buckingham County ,86.64%,5.97%,3.60%,3.79%
2014,15,Buckingham County ,84.58%,8.00%,3.38%,4.05%
2015,15,Buckingham County ,75.18%,13.49%,5.93%,5.39%
2010,16,Campbell County ,87.03%,7.28%,2.59%,3.11%
2011,16,Campbell County ,87.99%,5.96%,2.63%,3.42%
2012,16,Campbell County ,88.07%,6.33%,2.44%,3.15%
2013,16,Campbell County ,90.44%,5.22%,1.84%,2.50%
2014,16,Campbell County ,90.97%,4.94%,1.87%,2.23%
2015,16,Campbell County ,90.75%,5.03%,1.79%,2.43%
2010,17,Caroline County ,85.22%,7.56%,3.37%,3.86%
2011,17,Caroline County ,87.30%,7.49%,2.98%,2.22%
2012,17,Caroline County ,88.76%,6.38%,2.32%,2.54%
2013,17,Caroline County ,86.57%,7.59%,2.41%,3.44%
2014,17,Caroline County ,79.27%,11.78%,4.43%,4.52%
2015,17,Caroline County ,80.61%,9.07%,4.68%,5.63%
2010,18,Carroll County ,91.69%,4.87%,1.62%,1.82%
2011,18,Carroll County ,90.28%,5.46%,1.78%,2.49%
2012,18,Carroll County ,90.02%,5.54%,1.88%,2.55%
2013,18,Carroll County ,91.58%,4.56%,1.63%,2.24%
2014,18,Carroll County ,88.58%,6.12%,2.54%,2.76%
2015,18,Carroll County ,90.47%,5.83%,1.84%,1.87%
2010,19,Charles City County ,53.49%,2.67%,24.88%,18.95%
2011,19,Charles City County ,93.89%,4.16%,1.22%,0.73%
2012,19,Charles City County ,93.51%,3.90%,1.95%,0.65%
2013,19,Charles City County ,91.08%,4.79%,1.86%,2.26%
2014,19,Charles City County ,90.96%,6.07%,1.62%,1.35%
2015,19,Charles City County ,89.05%,6.08%,2.70%,2.16%
2010,20,Charlotte County ,88.23%,6.43%,2.84%,2.51%
2011,20,Charlotte County ,89.01%,5.70%,2.69%,2.59%
2012,20,Charlotte County ,89.77%,5.65%,1.90%,2.68%
2013,20,Charlotte County ,85.81%,7.20%,3.16%,3.83%
2014,20,Charlotte County ,82.09%,10.12%,3.19%,4.61%
2015,20,Charlotte County ,85.69%,7.64%,2.27%,4.39%
2010,21,Chesterfield County ,90.93%,4.42%,1.81%,2.84%
2011,21,Chesterfield County ,90.98%,4.36%,1.84%,2.83%
2012,21,Chesterfield County ,91.04%,4.45%,1.89%,2.62%
2013,21,Chesterfield County ,91.88%,3.82%,1.75%,2.55%
2014,21,Chesterfield County ,91.63%,4.29%,1.58%,2.50%
2015,21,Chesterfield County ,96.22%,2.23%,0.72%,0.83%
2010,22,Clarke County ,89.20%,7.23%,1.83%,1.74%
2011,22,Clarke County ,89.58%,6.62%,1.74%,2.07%
2012,22,Clarke County ,90.17%,5.38%,1.54%,2.90%
2013,22,Clarke County ,91.31%,4.87%,1.15%,2.67%
2014,22,Clarke County ,88.06%,7.36%,2.29%,2.29%
2015,22,Clarke County ,87.84%,7.35%,2.55%,2.25%
2010,23,Craig County ,91.96%,3.29%,1.71%,3.03%
2011,23,Craig County ,92.82%,4.20%,1.22%,1.76%
2012,23,Craig County ,92.71%,3.99%,1.51%,1.79%
2013,23,Craig County ,81.05%,4.57%,2.28%,12.10%
2014,23,Craig County ,86.62%,7.35%,2.06%,3.97%
2015,23,Craig County ,87.58%,4.85%,2.27%,5.30%
2010,24,Culpeper County ,88.35%,6.23%,2.32%,3.10%
2011,24,Culpeper County ,89.17%,6.21%,2.12%,2.50%
2012,24,Culpeper County ,89.97%,5.69%,1.91%,2.42%
2013,24,Culpeper County ,90.22%,5.55%,1.76%,2.47%
2014,24,Culpeper County ,88.41%,6.29%,2.14%,3.16%
2015,24,Culpeper County ,88.79%,5.76%,2.07%,3.38%
2010,25,Cumberland County ,83.05%,9.17%,3.69%,4.09%
2011,25,Cumberland County ,77.67%,11.03%,4.66%,6.64%
2012,25,Cumberland County ,81.72%,8.86%,4.22%,5.20%
2013,25,Cumberland County ,82.36%,10.12%,3.09%,4.43%
2014,25,Cumberland County ,85.32%,8.08%,2.53%,4.07%
2015,25,Cumberland County ,82.64%,9.08%,2.83%,5.45%
2010,26,Dickenson County ,76.45%,12.99%,6.13%,4.42%
2011,26,Dickenson County ,79.39%,11.36%,4.44%,4.80%
2012,26,Dickenson County ,74.12%,13.31%,5.85%,6.72%
2013,26,Dickenson County ,77.74%,11.62%,4.69%,5.96%
2014,26,Dickenson County ,75.67%,12.80%,5.91%,5.61%
2015,26,Dickenson County ,73.16%,13.87%,6.22%,6.74%
2010,27,Dinwiddie County ,86.37%,7.57%,3.07%,2.99%
2011,27,Dinwiddie County ,87.65%,6.22%,3.03%,3.10%
