UNITID,INSTNM,ADDR,CITY,STABBR,ZIP
131742,Sanz School,6182 Arlington Boulevard,Falls Church,VA,22044
231280,Bar Palma Beauty Careers Academy,3535 D Franklin Rd SW,Roanoke,VA,24014
231411,Advanced Technology Institute,5700 Southern Blvd Ste 100,Virginia Beach,VA,23462
231420,Averett University,420 W Main St,Danville,VA,24541
231536,Blue Ridge Community College,1 College Lane,Weyers Cave,VA,24486-0080
231554,Bluefield College,3000 College Dr,Bluefield,VA,24605
231581,Bridgewater College,402 E College St,Bridgewater,VA,22812-1599
231624,College of William and Mary, ,Williamsburg,VA,23187-8795
231642,MedSpa Careers Institute,800 Moorefield Park Drive,Richmond,VA,23236
231651,Regent University,1000 Regent University Dr,Virginia Beach,VA,23464
231688,Central School of Practical Nursing,1330 N Millitary Hwy,Norfolk,VA,23502
231697,Central Virginia Community College,3506 Wards Rd,Lynchburg,VA,24502-2498
231712,Christopher Newport University,1 University Place,Newport News,VA,23606
231721,Suffolk Beauty Academy,860 Portsmouth Blvd,Suffolk,VA,23434-3020
231785,Bryant and Stratton College-Virginia Beach,301 Centre Pointe Dr,Virginia Beach,VA,23462
231828,Bryant and Stratton College-Richmond,8141 Hull St Rd,Richmond,VA,23235
231837,Jefferson College of Health Sciences,101 Elm Avenue SE,Roanoke,VA,24013
231873,Dabney S Lancaster Community College,1000 Dabney Drive,Clifton Forge,VA,24422-1000
231882,Danville Community College,1008 S Main St,Danville,VA,24541-4004
231970,Eastern Virginia Medical School,700w. Olney,Norfolk,VA,23507
232016,Centura College-Virginia Beach,2697 Dean Dr Ste 100,Virginia Beach,VA,23452-7431
232025,Emory and Henry College,30461 Garnand Drive,Emory,VA,24327-0947
232043,Eastern Mennonite University,1200 Park Rd,Harrisonburg,VA,22802-2462
232052,Eastern Shore Community College,29300 Lankford Hwy,Melfa,VA,23410
232089,Ferrum College,215 Ferrum Mountain Road,Ferrum,VA,24088-9000
232186,George Mason University,4400 University Dr,Fairfax,VA,22030-4444
232195,Germanna Community College,2130 Germanna Hwy,Locust Grove,VA,22508-2102
232256,Hampden-Sydney College,College Road,Hampden-Sydney,VA,23943-0128
232265,Hampton University, ,Hampton,VA,23668-0099
232308,Hollins University,7916 Williamson Rd NW,Roanoke,VA,24020
232414,J Sargeant Reynolds Community College,1651 E Parham Road,Richmond,VA,23228-2327
232423,James Madison University,800 South Main Street,Harrisonburg,VA,22807
232450,John Tyler Community College,13101 Jefferson Davis Hwy,Chester,VA,23831-5316
232502,Everest College-Newport News,803 Diligence Drive,Newport News,VA,23606
232557,Liberty University,1971 University Blvd,Lynchburg,VA,24502
232566,Longwood University,201 High St,Farmville,VA,23909
232575,Lord Fairfax Community College,173 Skirmisher Lane,Middletown,VA,22645
232593,Suffolk Public Schools-Sentara Obici Hospital School of Practical Nursing,2800  Godwin Blvd,Suffolk,VA,23434
232609,Lynchburg College,1501 Lakeside Dr,Lynchburg,VA,24501-3113
232618,Lynchburg General Hospital School of Nursing,1901 Tate Springs Rd,Lynchburg,VA,24501
232672,Mary Baldwin College,New & Frederick St,Staunton,VA,24401
232681,University of Mary Washington,1301 College Ave,Fredericksburg,VA,22401-5300
232706,Marymount University,2807 N Glebe Rd,Arlington,VA,22207-4299
232724,Danville Regional Medical Center School of Health Professions,142 S Main St,Danville,VA,24541
232788,Mountain Empire Community College,3441 Mountain Empire Road,Big Stone Gap,VA,24219
232797,National College-Salem,1813 E Main St,Salem,VA,24153
232867,New River Community College,5251 College Drive,Dublin,VA,24084-1127
